# ----------------------------------------,,,,,,,,,
# Miratrix,,,,,,,,,
# Channels,,,,,,,,,
# 20180831-20190831,,,,,,,,,
# ----------------------------------------,,,,,,,,,
,,,,,,,,,
Keyword,Users,New Users,Sessions,Bounce Rate,Pages / Session,Avg. Session Duration,Contact From Good Lead (Goal 1 Conversion Rate),Contact From Good Lead (Goal 1 Completions),Contact From Good Lead (Goal 1 Value)
(not provided),615,591,727,35.90%,1.75,00:01:42,0.00%,0,£0.00
amazon,3,3,3,100.00%,1,00:00:00,0.00%,0,£0.00
(not set),1,1,1,100.00%,1,00:00:00,0.00%,0,£0.00
miratrix,1,1,1,0.00%,2,00:11:37,0.00%,0,£0.00
miratrix london,1,1,1,0.00%,1,00:05:27,0.00%,0,£0.00
,622,598,734,36.10%,1.75,00:01:43,0.00%,0,£0.00
,,,,,,,,,
Day Index,Users,,,,,,,,
2/19/19,1,,,,,,,,
2/20/19,1,,,,,,,,
2/21/19,2,,,,,,,,
2/22/19,2,,,,,,,,
2/23/19,0,,,,,,,,
2/24/19,0,,,,,,,,
2/25/19,0,,,,,,,,
2/26/19,2,,,,,,,,
2/27/19,2,,,,,,,,
2/28/19,1,,,,,,,,
3/1/19,1,,,,,,,,
3/2/19,2,,,,,,,,
3/3/19,1,,,,,,,,
3/4/19,1,,,,,,,,
3/5/19,2,,,,,,,,
3/6/19,4,,,,,,,,
3/7/19,4,,,,,,,,
3/8/19,2,,,,,,,,
3/9/19,0,,,,,,,,
3/10/19,1,,,,,,,,
3/11/19,0,,,,,,,,
3/12/19,3,,,,,,,,
3/13/19,2,,,,,,,,
3/14/19,2,,,,,,,,
3/15/19,0,,,,,,,,
3/16/19,2,,,,,,,,
3/17/19,2,,,,,,,,
3/18/19,2,,,,,,,,
3/19/19,1,,,,,,,,
3/20/19,5,,,,,,,,
3/21/19,0,,,,,,,,
3/22/19,1,,,,,,,,
3/23/19,1,,,,,,,,
3/24/19,0,,,,,,,,
3/25/19,0,,,,,,,,
3/26/19,2,,,,,,,,
3/27/19,5,,,,,,,,
3/28/19,3,,,,,,,,
3/29/19,1,,,,,,,,
3/30/19,1,,,,,,,,
3/31/19,0,,,,,,,,
4/1/19,2,,,,,,,,
4/2/19,0,,,,,,,,
4/3/19,3,,,,,,,,
4/4/19,5,,,,,,,,
4/5/19,1,,,,,,,,
4/6/19,1,,,,,,,,
4/7/19,3,,,,,,,,
4/8/19,1,,,,,,,,
4/9/19,3,,,,,,,,
4/10/19,3,,,,,,,,
4/11/19,3,,,,,,,,
4/12/19,2,,,,,,,,
4/13/19,0,,,,,,,,
4/14/19,1,,,,,,,,
4/15/19,2,,,,,,,,
4/16/19,0,,,,,,,,
4/17/19,1,,,,,,,,
4/18/19,1,,,,,,,,
4/19/19,3,,,,,,,,
4/20/19,2,,,,,,,,
4/21/19,1,,,,,,,,
4/22/19,3,,,,,,,,
4/23/19,3,,,,,,,,
4/24/19,1,,,,,,,,
4/25/19,3,,,,,,,,
4/26/19,1,,,,,,,,
4/27/19,0,,,,,,,,
4/28/19,2,,,,,,,,
4/29/19,4,,,,,,,,
4/30/19,1,,,,,,,,
5/1/19,2,,,,,,,,
5/2/19,4,,,,,,,,
5/3/19,3,,,,,,,,
5/4/19,0,,,,,,,,
5/5/19,0,,,,,,,,
5/6/19,1,,,,,,,,
5/7/19,2,,,,,,,,
5/8/19,1,,,,,,,,
5/9/19,3,,,,,,,,
5/10/19,3,,,,,,,,
5/11/19,0,,,,,,,,
5/12/19,0,,,,,,,,
5/13/19,2,,,,,,,,
5/14/19,2,,,,,,,,
5/15/19,2,,,,,,,,
5/16/19,4,,,,,,,,
5/17/19,3,,,,,,,,
5/18/19,0,,,,,,,,
5/19/19,0,,,,,,,,
5/20/19,2,,,,,,,,
5/21/19,3,,,,,,,,
5/22/19,1,,,,,,,,
5/23/19,3,,,,,,,,
5/24/19,5,,,,,,,,
5/25/19,1,,,,,,,,
5/26/19,1,,,,,,,,
5/27/19,1,,,,,,,,
5/28/19,3,,,,,,,,
5/29/19,2,,,,,,,,
5/30/19,6,,,,,,,,
5/31/19,3,,,,,,,,
6/1/19,0,,,,,,,,
6/2/19,0,,,,,,,,
6/3/19,4,,,,,,,,
6/4/19,3,,,,,,,,
6/5/19,4,,,,,,,,
6/6/19,1,,,,,,,,
6/7/19,3,,,,,,,,
6/8/19,0,,,,,,,,
6/9/19,1,,,,,,,,
6/10/19,3,,,,,,,,
6/11/19,4,,,,,,,,
6/12/19,1,,,,,,,,
6/13/19,1,,,,,,,,
6/14/19,1,,,,,,,,
6/15/19,2,,,,,,,,
6/16/19,0,,,,,,,,
6/17/19,1,,,,,,,,
6/18/19,3,,,,,,,,
6/19/19,5,,,,,,,,
6/20/19,1,,,,,,,,
6/21/19,4,,,,,,,,
6/22/19,1,,,,,,,,
6/23/19,0,,,,,,,,
6/24/19,3,,,,,,,,
6/25/19,1,,,,,,,,
6/26/19,2,,,,,,,,
6/27/19,0,,,,,,,,
6/28/19,2,,,,,,,,
6/29/19,1,,,,,,,,
6/30/19,0,,,,,,,,
7/1/19,4,,,,,,,,
7/2/19,2,,,,,,,,
7/3/19,1,,,,,,,,
7/4/19,0,,,,,,,,
7/5/19,0,,,,,,,,
7/6/19,0,,,,,,,,
7/7/19,0,,,,,,,,
7/8/19,2,,,,,,,,
7/9/19,1,,,,,,,,
7/10/19,1,,,,,,,,
7/11/19,0,,,,,,,,
7/12/19,1,,,,,,,,
7/13/19,0,,,,,,,,
7/14/19,0,,,,,,,,
7/15/19,1,,,,,,,,
7/16/19,3,,,,,,,,
7/17/19,1,,,,,,,,
7/18/19,0,,,,,,,,
7/19/19,1,,,,,,,,
7/20/19,0,,,,,,,,
7/21/19,0,,,,,,,,
7/22/19,6,,,,,,,,
7/23/19,3,,,,,,,,
7/24/19,0,,,,,,,,
7/25/19,2,,,,,,,,
7/26/19,4,,,,,,,,
